event_id,match_id,period,minute,second,timestamp,event_type,player_name,team_name,possession_team,location_x,location_y,under_pressure,duration,play_pattern,pass_recipient,pass_length,pass_height,pass_outcome,pass_angle,pass_end_x,pass_end_y,shot_outcome,shot_xg,shot_body_part,shot_technique,is_goal,carry_end_x,carry_end_y,carry_distance,dribble_outcome,dribble_nutmeg,substitution,position,foul_committed,Spain_score,England_score,score_diff,team_tournament_wins,team_tournament_draws,team_tournament_losses,team_tournament_goals,team_tournament_conceded,player_tournament_goals,player_match_goals,previous_event_type,previous_player,previous_team,previous_minute,previous_second,next_event_type,next_player,next_team,possession_retained,distance_to_goal,is_key_pass,is_danger_zone,is_high_pressure
3485,3943043,1,0,0,00:00:00.000,Starting XI,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,6,0,0,13,3,0,0,,,,,,Starting XI,,England,False,,False,,False
3486,3943043,1,0,0,00:00:00.000,Starting XI,,England,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,3,0,7,4,0,0,Starting XI,,Spain,0.0,0.0,Half Start,,England,True,,False,,False
3487,3943043,1,0,0,00:00:00.000,Half Start,,England,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,3,3,0,7,4,0,0,Starting XI,,England,0.0,0.0,Half Start,,Spain,False,,False,,False
3488,3943043,1,0,0,00:00:00.000,Half Start,,Spain,Spain,,,,0.0,Regular Play,,,,,,,,,,,,False,,,,,False,,,,0,0,0,6,0,0,13,3,0,0,Half Start,,England,0.0,0.0,Pass,Kobbie Mainoo,England,False,,False,,False
3489,3943043,1,0,0,00:00:00.340,Pass,Kobbie Mainoo,England,England,60.0,40.0,,2.529454,From Kick Off,Jordan Pickford,34.620804,Ground Pass,,-3.1069245,25.4,38.8,,,,,False,,,,,False,,"{'id': 9, 'name': 'Right Defensive Midfield'}",,0,0,0,3,3,0,7,4,0,0,Half Start,,Spain,0.0,0.0,Ball Receipt*,Jordan Pickford,England,True,60.0,False,False,False
3490,3943043,1,0,2,00:00:02.870,Ball Receipt*,Jordan Pickford,England,England,25.4,38.8,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,3,3,0,7,4,0,0,Pass,Kobbie Mainoo,England,0.0,0.0,Carry,Jordan Pickford,England,True,94.6,False,False,False
3491,3943043,1,0,2,00:00:02.870,Carry,Jordan Pickford,England,England,25.4,38.8,,1.872089,From Kick Off,,,,,,,,,,,,False,28.7,31.6,7.920227269466448,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,3,3,0,7,4,0,0,Ball Receipt*,Jordan Pickford,England,0.0,2.0,Pass,Jordan Pickford,England,True,94.6,False,False,False
3492,3943043,1,0,4,00:00:04.742,Pass,Jordan Pickford,England,England,28.7,31.6,,5.137795,From Kick Off,Bukayo Saka,98.1779,High Pass,Out,0.3765344,120.0,67.7,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,3,3,0,7,4,0,0,Carry,Jordan Pickford,England,0.0,2.0,Ball Receipt*,Bukayo Saka,England,True,91.3,False,False,False
3493,3943043,1,0,9,00:00:09.879,Ball Receipt*,Bukayo Saka,England,England,96.8,56.5,,,From Kick Off,,,,,,,,,,,,False,,,,,False,,"{'id': 17, 'name': 'Right Wing'}",,0,0,0,3,3,0,7,4,2,0,Pass,Jordan Pickford,England,0.0,4.0,Pass,Unai Simón Mendibil,Spain,False,23.200000000000003,False,True,False
3494,3943043,1,0,34,00:00:34.440,Pass,Unai Simón Mendibil,Spain,Spain,6.9,39.6,,1.217978,From Goal Kick,Robin Aime Robert Le Normand,17.736967,Ground Pass,,1.4464413,9.1,57.2,,,,,False,,,,,False,,"{'id': 1, 'name': 'Goalkeeper'}",,0,0,0,6,0,0,13,3,0,0,Ball Receipt*,Bukayo Saka,England,0.0,9.0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,True,113.1,False,False,False
3495,3943043,1,0,35,00:00:35.658,Ball Receipt*,Robin Aime Robert Le Normand,Spain,Spain,9.1,57.2,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,6,0,0,13,3,0,0,Pass,Unai Simón Mendibil,Spain,0.0,34.0,Carry,Robin Aime Robert Le Normand,Spain,True,110.9,False,False,False
3496,3943043,1,0,35,00:00:35.658,Carry,Robin Aime Robert Le Normand,Spain,Spain,9.1,57.2,,0.620663,From Goal Kick,,,,,,,,,,,,False,8.9,57.2,0.1999999999999993,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,6,0,0,13,3,0,0,Ball Receipt*,Robin Aime Robert Le Normand,Spain,0.0,35.0,Pass,Robin Aime Robert Le Normand,Spain,True,110.9,False,False,False
3497,3943043,1,0,36,00:00:36.279,Pass,Robin Aime Robert Le Normand,Spain,Spain,8.9,57.2,,1.390837,From Goal Kick,Daniel Carvajal Ramos,21.973848,Ground Pass,,1.0093026,20.6,75.8,,,,,False,,,,,False,,"{'id': 3, 'name': 'Right Center Back'}",,0,0,0,6,0,0,13,3,0,0,Carry,Robin Aime Robert Le Normand,Spain,0.0,35.0,Ball Receipt*,Daniel Carvajal Ramos,Spain,True,111.1,False,False,False
3498,3943043,1,0,37,00:00:37.670,Ball Receipt*,Daniel Carvajal Ramos,Spain,Spain,20.6,75.8,,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,6,0,0,13,3,1,0,Pass,Robin Aime Robert Le Normand,Spain,0.0,36.0,Carry,Daniel Carvajal Ramos,Spain,True,99.4,False,False,False
3499,3943043,1,0,37,00:00:37.670,Carry,Daniel Carvajal Ramos,Spain,Spain,20.6,75.8,True,1.766383,From Goal Kick,,,,,,,,,,,,False,28.6,76.4,8.022468448052633,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,6,0,0,13,3,1,0,Ball Receipt*,Daniel Carvajal Ramos,Spain,0.0,37.0,Pressure,Jude Bellingham,England,False,99.4,False,False,False
3500,3943043,1,0,38,00:00:38.876,Pressure,Jude Bellingham,England,Spain,94.7,4.1,,0.543418,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 21, 'name': 'Left Wing'}",,0,0,0,3,3,0,7,4,3,0,Carry,Daniel Carvajal Ramos,Spain,0.0,37.0,Pass,Daniel Carvajal Ramos,Spain,False,25.299999999999997,False,False,False
3501,3943043,1,0,39,00:00:39.436,Pass,Daniel Carvajal Ramos,Spain,Spain,28.6,76.4,,1.076726,From Goal Kick,Daniel Olmo Carvajal,22.999348,Ground Pass,,-0.35062835,50.2,68.5,,,,,False,,,,,False,,"{'id': 2, 'name': 'Right Back'}",,0,0,0,6,0,0,13,3,1,0,Pressure,Jude Bellingham,England,0.0,38.0,Pressure,Declan Rice,England,False,91.4,False,False,True
3502,3943043,1,0,40,00:00:40.334,Pressure,Declan Rice,England,Spain,69.9,11.6,,0.29247,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 11, 'name': 'Left Defensive Midfield'}",,0,0,0,3,3,0,7,4,0,0,Pass,Daniel Carvajal Ramos,Spain,0.0,39.0,Ball Receipt*,Daniel Olmo Carvajal,Spain,False,50.099999999999994,False,False,False
3503,3943043,1,0,40,00:00:40.513,Ball Receipt*,Daniel Olmo Carvajal,Spain,Spain,50.2,68.5,True,,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,6,0,0,13,3,3,0,Pressure,Declan Rice,England,0.0,40.0,Carry,Daniel Olmo Carvajal,Spain,True,69.8,False,False,True
3504,3943043,1,0,40,00:00:40.513,Carry,Daniel Olmo Carvajal,Spain,Spain,50.2,68.5,True,0.132449,From Goal Kick,,,,,,,,,,,,False,49.3,68.9,0.984885780179618,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,6,0,0,13,3,3,0,Ball Receipt*,Daniel Olmo Carvajal,Spain,0.0,40.0,Miscontrol,Daniel Olmo Carvajal,Spain,True,69.8,False,False,False
3505,3943043,1,0,40,00:00:40.645,Miscontrol,Daniel Olmo Carvajal,Spain,Spain,49.3,68.9,,0.0,From Goal Kick,,,,,,,,,,,,False,,,,,False,,"{'id': 19, 'name': 'Center Attacking Midfield'}",,0,0,0,6,0,0,13,3,3,0,Carry,Daniel Olmo Carvajal,Spain,0.0,40.0,Pass,Álvaro Borja Morata Martín,Spain,True,70.7,False,False,False
3506,3943043,1,0,41,00:00:41.878,Pass,Álvaro Borja Morata Martín,Spain,Spain,61.9,67.1,,0.26495,From Goal Kick,Lamine Yamal Nasraoui Ebana,3.206244,Ground Pass,Incomplete,-0.06241881,65.1,66.9,,,,,False,,,,,False,,"{'id': 23, 'name': 'Center Forward'}",,0,0,0,6,0,0,13,3,1,0,Miscontrol,Daniel Olmo Carvajal,Spain,0.0,40.0,Ball Receipt*,Lamine Yamal Nasraoui Ebana,Spain,True,58.1,False,False,False
