match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,generated_at
3942819,0,1,Netherlands,England,0,0,Semi-finals,Kick Off,,Netherlands,[Kick Off] The first half begins. Euro 2024 Semi-Final between Netherlands and England!,gpt-4o-mini,2025-12-09T17:29:29.365073
3942819,1,1,Netherlands,England,0,0,Semi-finals,Free Kick,Donyell Malen,Netherlands,[Foul] Foul by Declan Rice (England) on Donyell Malen (Netherlands). Free kick awarded.,gpt-4o-mini,2025-12-09T17:29:30.858293
3942819,2,1,Netherlands,England,0,0,Semi-finals,Free Kick,Marc Guehi,England,[Foul] Foul by Jerdy Schouten (Netherlands) on Phil Foden (England) in midfield.,gpt-4o-mini,2025-12-09T17:29:32.284662
3942819,3,1,Netherlands,England,0,0,Semi-finals,Free Kick,Marc Guehi,England,[Foul] Foul by Nathan Aké (Netherlands) on Marc Guehi (England). Free kick awarded on the right wing.,gpt-4o-mini,2025-12-09T17:29:33.961582
3942819,4,1,Netherlands,England,0,0,Semi-finals,Free Kick,Stefan de Vrij,Netherlands,[Foul] Foul by Declan Rice (England) on Stefan de Vrij (Netherlands). Free kick awarded in the defensive half.,gpt-4o-mini,2025-12-09T17:29:35.442429
3942819,5,1,Netherlands,England,0,0,Semi-finals,Free Kick,Bart Verbruggen,Netherlands,[Foul] Foul by Virgil van Dijk (Netherlands) on Harry Kane (England). Free kick for England.,gpt-4o-mini,2025-12-09T17:29:37.187380
3942819,6,1,Netherlands,England,0,0,Semi-finals,Goal,Xavi Simons,Netherlands,"[Goal] Goal! Xavi Simons puts the Netherlands on the scoreboard with a right-footed shot from the edge of the box. Netherlands 0, England 0.",gpt-4o-mini,2025-12-09T17:29:38.905520
3942819,7,1,Netherlands,England,0,0,Semi-finals,General,Jordan Pickford,England,"[General] England dominating early, holding 100% possession in their defensive third.",gpt-4o-mini,2025-12-09T17:29:40.070798
3942819,8,1,Netherlands,England,0,0,Semi-finals,Foul,Jude Bellingham,England,[Foul] Foul by Jerdy Schouten (Netherlands) on Jude Bellingham (England) near the box.,gpt-4o-mini,2025-12-09T17:29:42.589220
3942819,9,1,Netherlands,England,0,0,Semi-finals,Injury,Jude Bellingham,England,"[Injury] Jude Bellingham (England) is down with an injury, receiving medical attention.",gpt-4o-mini,2025-12-09T17:29:43.734610
3942819,10,1,Netherlands,England,0,0,Semi-finals,Free Kick,Phil Foden,England,[Foul] Foul by Cody Mathès Gakpo (Netherlands) on Bukayo Saka (England). Free kick awarded.,gpt-4o-mini,2025-12-09T17:29:45.349931
3942819,11,1,Netherlands,England,0,0,Semi-finals,Free Kick,Kieran Trippier,England,[Foul] Foul by Matthijs de Ligt (Netherlands) on Kieran Trippier (England) at the edge of the box.,gpt-4o-mini,2025-12-09T17:29:46.823208
