match_id,minute,period,home_team,away_team,home_score,away_score,stage,detected_type,player,team,llm_commentary,model,agent_model,momentum_used,chain_used,generated_at
3942226,0,1,Spain,Germany,0,0,Quarter-finals,Kick Off,,Germany,"[Kick Off] The Quarter-finals are underway! Spain versus Germany, both teams aiming for glory.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:01.517347
3942226,1,1,Spain,Germany,0,0,Quarter-finals,Injury,Marc Cucurella Saseta,Spain,[Injury] Early concern for Spain as Marc Cucurella is down with an injury.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:02.672984
3942226,2,1,Spain,Germany,0,0,Quarter-finals,Free Kick,Aymeric Laporte,Spain,[Foul] Free kick awarded to Spain after a foul by Germany on Aymeric Laporte.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:04.615024
3942226,3,1,Spain,Germany,0,0,Quarter-finals,Injury,Pedro González López,Spain,[Injury] Early concern for Spain as Pedro González López goes down with an injury.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:05.629453
3942226,4,1,Spain,Germany,0,0,Quarter-finals,Injury,Manuel Neuer,Germany,[Injury] Manuel Neuer is down. Concern for Germany as he receives treatment.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:07.728118
3942226,5,1,Spain,Germany,0,0,Quarter-finals,Injury,Pedro González López,Spain,"[Injury] Pedro González López down for Spain, receiving treatment on the pitch.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:08.633981
3942226,5,1,Spain,Germany,0,0,Quarter-finals,Injury,Manuel Neuer,Germany,[Injury] Injury concern for Germany as Manuel Neuer goes down.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:09.714778
3942226,7,1,Spain,Germany,0,0,Quarter-finals,Substitution,Pedro González López,Spain,"[Substitution] Early change for Spain. Pedro González López off due to injury, replaced by Daniel Olmo Carvajal.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:11.785870
3942226,8,1,Spain,Germany,0,0,Quarter-finals,General,Toni Kroos,Germany,"[General] Germany dominating early, controlling play entirely in Spain's defensive third. Rüdiger leading the charge.",gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:15.193357
3942226,9,1,Spain,Germany,0,0,Quarter-finals,Free Kick,Toni Kroos,Germany,[Foul] Foul by Rodri (Spain) on Toni Kroos in Germany's defensive half.,gpt-4o-mini,gpt-4o,False,False,2026-01-01T19:48:16.254777
