data_source,minute,sequence_rank,real_commentary,real_type,our_sequence_commentary,sequence_id,average_score,average_score_no_sentiment,TF-IDF,Embeddings_BERT,content_overlap_ratio,real_sentiment,our_sentiment,sentiment_diff,real_word_count,our_word_count,real_content_words,our_content_words,matching_content_words,real_unique_players,our_unique_players,matching_players,entity_players_match,real_unique_teams,our_unique_teams,matching_teams,entity_teams_match,real_unique_events,our_unique_events,matching_events,entity_events_match,real_player_mentions,our_player_mentions,real_player_repetitions,our_player_repetitions,real_team_mentions,our_team_mentions,real_team_repetitions,our_team_repetitions,real_event_mentions,our_event_mentions,real_event_repetitions,our_event_repetitions,ner_score,average_score_with_ner
ESPN,1,1,Cody Gakpo (Netherlands) wins a free kick in the defensive half.,Free Kick,[Kick Off] The first half begins. Euro 2024 Semi-Final between Netherlands and England!,0,0.4296624709931447,0.243617228305,0.2061369660682861,0.34824413,0.1764705882352941,0.1711857616901397,0.1589839607477188,0.0122018009424209,11,13,8,12,3,1,3,0,0.0,1,2,1,1.0,1,0,0,0.0,1,3,0,0,1,2,0,0,1,0,0,0,0.3333333333333333,0.41039664333889847
ESPN,1,2,"Offside, Netherlands. Donyell Malen is caught offside.",Offside,[Kick Off] The first half begins. Euro 2024 Semi-Final between Netherlands and England!,0,0.3326550825861301,0.1733826661344642,0.0472306204546317,0.41041738,0.0625,-0.0305437073111534,0.1589839607477188,0.1895276680588722,7,13,6,12,1,2,3,0,0.0,1,2,1,1.0,1,0,0,0.0,2,3,0,0,1,2,0,0,2,0,1,0,0.23076923076923078,0.3122779126329981
ESPN,1,3,Foul by Kyle Walker (England).,Foul,[Kick Off] The first half begins. Euro 2024 Semi-Final between Netherlands and England!,0,0.2302060354090474,0.1383507405170788,0.0648911121832301,0.28349444,0.0666666666666666,-0.3352441191673279,0.1589839607477188,0.4942280799150467,5,13,4,12,1,2,3,0,0.0,1,2,1,1.0,1,0,0,0.0,2,3,0,0,1,2,0,0,1,0,0,0,0.3333333333333333,0.25083149445363667
ESPN,3,1,Foul by Jerdy Schouten (Netherlands).,Foul,[Foul] Foul by Jerdy Schouten (Netherlands) on Phil Foden (England) in midfield.,2,0.7461720822858767,0.6622787871106408,0.602232503337843,0.88460386,0.5,-0.4387106001377105,-0.4408586323261261,0.0021480321884155,5,12,4,9,4,2,3,2,1.0,1,2,1,1.0,1,1,1,1.0,2,3,0,0,1,2,0,0,1,2,0,1,1.0,0.7969376662298855
ESPN,3,2,Phil Foden (England) wins a free kick in the attacking half.,Free Kick,[Foul] Foul by Jerdy Schouten (Netherlands) on Phil Foden (England) in midfield.,2,0.2958367636215916,0.3266429034090348,0.2061369660682861,0.5430225,0.2307692307692307,0.3557230234146118,-0.4408586323261261,0.7965816557407379,11,12,8,9,3,1,3,1,1.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.7777777777777778,0.39222496377491134
ESPN,5,1,"Offside, England. Kieran Trippier is caught offside.",Offside,[Foul] Foul by Declan Rice (England) on Stefan de Vrij (Netherlands). Free kick awarded in the defensive half.,4,0.3061644793176096,0.1842067669661099,0.0393010469768211,0.45081925,0.0625,-0.0378107875585556,-0.3657731711864471,0.3279623836278915,7,18,6,13,1,2,5,0,0.0,1,2,1,1.0,1,2,0,0.0,2,5,0,0,1,2,0,0,2,3,1,1,0.23076923076923078,0.2910854288236321
ESPN,7,1,"Goal! Netherlands 1, England 0. Xavi Simons (Netherlands) right footed shot from outside the box to the top left corner.",Goal,"[Goal] Goal! Xavi Simons puts the Netherlands on the scoreboard with a right-footed shot from the edge of the box. Netherlands 0, England 0.",6,0.7705188616170676,0.7066949604689005,0.6408263441142207,0.91675854,0.5625,0.4059078097343445,0.3678983747959137,0.0380094349384307,20,24,14,14,9,2,2,2,1.0,2,2,2,1.0,3,2,2,0.6666666666666666,2,2,0,0,3,3,1,1,3,3,0,1,0.875,0.791415089835158
ESPN,9,1,Foul by Jerdy Schouten (Netherlands).,Foul,[Foul] Foul by Jerdy Schouten (Netherlands) on Jude Bellingham (England) near the box.,8,0.7278306626682605,0.6377078385359877,0.5743359334224297,0.89434314,0.4444444444444444,-0.4387106001377105,-0.4369097352027893,0.0018008649349212,5,13,4,10,4,2,3,2,1.0,1,2,1,1.0,1,1,1,1.0,2,3,0,0,1,2,0,0,1,2,0,1,1.0,0.7822645305863907
ESPN,9,2,Delay in match because of an injury Jude Bellingham (England).,Injury,[Foul] Foul by Jerdy Schouten (Netherlands) on Jude Bellingham (England) near the box.,8,0.4501020867777213,0.2775095746454059,0.1415225563593544,0.46023694,0.2307692307692307,-0.4690301120281219,-0.4369097352027893,0.0321203768253326,10,13,7,10,3,2,3,1,0.5,1,2,1,1.0,0,1,0,0.0,2,3,0,0,1,2,0,0,0,2,0,1,0.6363636363636364,0.48735439733337776
ESPN,9,3,Jude Bellingham (England) wins a free kick in the attacking half.,Free Kick,[Foul] Foul by Jerdy Schouten (Netherlands) on Jude Bellingham (England) near the box.,8,0.3171627544785126,0.2960679860147615,0.1980658138917793,0.47585243,0.2142857142857142,0.1826432049274444,-0.4369097352027893,0.6195529401302338,11,13,8,10,3,1,3,1,1.0,1,2,1,1.0,1,1,0,0.0,1,3,0,0,1,2,0,0,1,2,0,1,0.7777777777777778,0.40928575916500753
ESPN,11,1,Foul by Cody Gakpo (Netherlands).,Foul,[Foul] Foul by Cody Mathès Gakpo (Netherlands) on Bukayo Saka (England). Free kick awarded.,10,0.6672722088884974,0.5781065209165764,0.5499883949217763,0.8206948,0.3636363636363636,-0.4465006589889526,-0.3812699317932129,0.0652307271957397,5,14,4,12,4,2,4,2,1.0,1,2,1,1.0,1,2,1,1.0,2,4,0,0,1,2,0,0,1,3,0,1,0.5555555555555556,0.6449288773835911
ESPN,11,2,Bukayo Saka (England) wins a free kick in the attacking half.,Free Kick,[Foul] Foul by Cody Mathès Gakpo (Netherlands) on Bukayo Saka (England). Free kick awarded.,10,0.4171924513018725,0.4076331352441307,0.2507429491937831,0.6150136,0.3571428571428571,0.1728596687316894,-0.3812699317932129,0.5541296005249023,11,14,8,12,5,1,4,1,1.0,1,2,1,1.0,1,2,1,1.0,1,4,0,0,1,2,0,0,1,3,0,1,1.0,0.5337539611623476
ESPN,11,3,Delay over. They are ready to continue.,General,[Foul] Foul by Cody Mathès Gakpo (Netherlands) on Bukayo Saka (England). Free kick awarded.,10,0.1119605144485831,0.0112042613327503,0.0,0.033612784,0.0,0.2045007944107055,-0.3812699317932129,0.5857707262039185,7,14,4,12,0,2,4,0,0.0,0,2,0,0.0,0,2,0,0.0,2,4,0,0,0,2,0,0,0,3,0,1,0.0,0.08956841155921631
