game_id,team_x,team_y,differential_case,sign_accuracy
3930158,Germany,Scotland,Positive-Negative_X_Wins,1
3930158,Germany,Scotland,Negative-Positive_Y_Wins,1
3930158,Germany,Scotland,Negative-Positive_Y_Wins,1
3930158,Germany,Scotland,Negative-Positive_Y_Wins,1
3930158,Germany,Scotland,Positive-Positive_X_Wins,1
3930158,Germany,Scotland,Negative-Negative_Y_Wins,1
3930158,Germany,Scotland,Negative-Negative_X_Wins,0
3930158,Germany,Scotland,Negative-Negative_Y_Wins,1
3930158,Germany,Scotland,Positive-Negative_X_Wins,1
3930158,Germany,Scotland,Positive-Negative_X_Wins,1
3930158,Germany,Scotland,Positive-Negative_X_Wins,1
3930158,Germany,Scotland,Negative-Negative_Y_Wins,1
3930158,Germany,Scotland,Negative-Positive_Y_Wins,1
3930158,Germany,Scotland,Negative-Negative_X_Wins,1
3930159,Hungary,Switzerland,Negative-Negative_Y_Wins,1
3930159,Hungary,Switzerland,Negative-Positive_Y_Wins,1
3930159,Hungary,Switzerland,Negative-Positive_Y_Wins,1
3930159,Hungary,Switzerland,Positive-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,1
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,1
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,1
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Negative-Negative_X_Wins,0
3930159,Hungary,Switzerland,Positive-Negative_X_Wins,1
3930160,Spain,Croatia,Negative-Positive_Y_Wins,0
3930160,Spain,Croatia,Negative-Positive_Y_Wins,0
3930160,Spain,Croatia,Positive-Negative_X_Wins,1
3930160,Spain,Croatia,Negative-Negative_Y_Wins,1
3930160,Spain,Croatia,Negative-Positive_Y_Wins,1
3930160,Spain,Croatia,Positive-Positive_Y_Wins,0
3930160,Spain,Croatia,Positive-Positive_Y_Wins,1
3930160,Spain,Croatia,Positive-Positive_Y_Wins,0
3930160,Spain,Croatia,Negative-Positive_Y_Wins,1
3930160,Spain,Croatia,Positive-Positive_Y_Wins,0
3930160,Spain,Croatia,Negative-Positive_Y_Wins,1
3930160,Spain,Croatia,Negative-Positive_Y_Wins,1
3930160,Spain,Croatia,Negative-Positive_Y_Wins,1
3930160,Spain,Croatia,Negative-Positive_Y_Wins,0
3930160,Spain,Croatia,Negative-Positive_Y_Wins,0
3930161,Italy,Albania,Positive-Negative_X_Wins,1
3930161,Italy,Albania,Negative-Negative_Y_Wins,0
3930161,Italy,Albania,Negative-Negative_Y_Wins,0
3930161,Italy,Albania,Negative-Negative_Y_Wins,0
3930161,Italy,Albania,Negative-Positive_Y_Wins,1
3930161,Italy,Albania,Negative-Positive_Y_Wins,1
3930161,Italy,Albania,Negative-Positive_Y_Wins,1
3930161,Italy,Albania,Negative-Negative_Y_Wins,1
3930161,Italy,Albania,Negative-Negative_Y_Wins,1
3930161,Italy,Albania,Positive-Negative_X_Wins,1
3930161,Italy,Albania,Positive-Negative_X_Wins,0
3930161,Italy,Albania,Positive-Negative_X_Wins,0
3930161,Italy,Albania,Positive-Negative_X_Wins,1
3930161,Italy,Albania,Positive-Negative_X_Wins,1
3930161,Italy,Albania,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Positive-Positive_X_Wins,0
3930162,Slovenia,Denmark,Negative-Positive_Y_Wins,1
3930162,Slovenia,Denmark,Negative-Positive_Y_Wins,1
3930162,Slovenia,Denmark,Negative-Negative_X_Wins,0
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,0
3930162,Slovenia,Denmark,Negative-Negative_X_Wins,0
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,1
3930162,Slovenia,Denmark,Negative-Negative_Y_Wins,1
3930162,Slovenia,Denmark,Positive-Positive_X_Wins,0
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,0
3930162,Slovenia,Denmark,Positive-Negative_X_Wins,0
3930163,Serbia,England,Negative-Positive_Y_Wins,1
3930163,Serbia,England,Negative-Negative_X_Wins,1
3930163,Serbia,England,Negative-Positive_Y_Wins,0
3930163,Serbia,England,Positive-Negative_X_Wins,1
3930163,Serbia,England,Negative-Positive_Y_Wins,1
3930163,Serbia,England,Positive-Positive_Y_Wins,1
3930163,Serbia,England,Positive-Positive_Y_Wins,1
3930163,Serbia,England,Positive-Negative_X_Wins,1
3930163,Serbia,England,Positive-Negative_X_Wins,1
3930163,Serbia,England,Positive-Negative_X_Wins,1
3930163,Serbia,England,Positive-Positive_Y_Wins,1
3930163,Serbia,England,Negative-Positive_Y_Wins,1
3930163,Serbia,England,Negative-Positive_Y_Wins,1
3930163,Serbia,England,Negative-Negative_Y_Wins,0
3930163,Serbia,England,Positive-Negative_X_Wins,1
3930164,Belgium,Slovakia,Positive-Negative_X_Wins,1
3930164,Belgium,Slovakia,Positive-Negative_X_Wins,1
3930164,Belgium,Slovakia,Negative-Positive_Y_Wins,1
3930164,Belgium,Slovakia,Negative-Positive_Y_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_Y_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_Y_Wins,1
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,0
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,0
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,0
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,0
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,0
3930164,Belgium,Slovakia,Positive-Positive_X_Wins,1
3930165,Austria,France,Negative-Negative_X_Wins,0
3930165,Austria,France,Negative-Negative_X_Wins,0
3930165,Austria,France,Negative-Negative_Y_Wins,1
3930165,Austria,France,Positive-Negative_X_Wins,0
3930165,Austria,France,Positive-Negative_X_Wins,0
3930165,Austria,France,Positive-Negative_X_Wins,0
3930165,Austria,France,Positive-Negative_X_Wins,1
3930165,Austria,France,Positive-Negative_X_Wins,1
3930165,Austria,France,Positive-Negative_X_Wins,1
3930165,Austria,France,Positive-Negative_X_Wins,1
3930165,Austria,France,Positive-Positive_Y_Wins,1
3930165,Austria,France,Negative-Positive_Y_Wins,1
3930165,Austria,France,Negative-Positive_Y_Wins,0
3930165,Austria,France,Negative-Negative_Y_Wins,1
3930165,Austria,France,Negative-Negative_X_Wins,0
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,0
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Positive_Y_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,0
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,0
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Negative_X_Wins,1
3930166,Portugal,Czech Republic,Negative-Positive_Y_Wins,1
3930166,Portugal,Czech Republic,Negative-Positive_Y_Wins,1
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,0
3930166,Portugal,Czech Republic,Positive-Negative_X_Wins,0
3930167,Croatia,Albania,Negative-Positive_Y_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,0
3930167,Croatia,Albania,Positive-Positive_Y_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,0
3930167,Croatia,Albania,Positive-Negative_X_Wins,0
3930167,Croatia,Albania,Positive-Negative_X_Wins,0
3930167,Croatia,Albania,Positive-Negative_X_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,1
3930167,Croatia,Albania,Negative-Negative_Y_Wins,1
3930167,Croatia,Albania,Negative-Negative_Y_Wins,1
3930167,Croatia,Albania,Negative-Negative_Y_Wins,1
3930167,Croatia,Albania,Positive-Negative_X_Wins,0
3930168,Germany,Hungary,Positive-Positive_Y_Wins,1
3930168,Germany,Hungary,Negative-Positive_Y_Wins,1
3930168,Germany,Hungary,Negative-Negative_X_Wins,0
3930168,Germany,Hungary,Negative-Negative_X_Wins,0
3930168,Germany,Hungary,Positive-Negative_X_Wins,1
3930168,Germany,Hungary,Positive-Negative_X_Wins,1
3930168,Germany,Hungary,Positive-Negative_X_Wins,1
3930168,Germany,Hungary,Negative-Negative_X_Wins,1
3930168,Germany,Hungary,Negative-Positive_Y_Wins,0
3930168,Germany,Hungary,Negative-Positive_Y_Wins,1
3930168,Germany,Hungary,Negative-Positive_Y_Wins,1
3930168,Germany,Hungary,Negative-Positive_Y_Wins,1
3930168,Germany,Hungary,Negative-Positive_Y_Wins,1
3930168,Germany,Hungary,Positive-Negative_X_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Positive-Negative_X_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Positive-Positive_Y_Wins,0
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930169,Scotland,Switzerland,Negative-Positive_Y_Wins,1
3930170,Slovenia,Serbia,Positive-Positive_X_Wins,1
3930170,Slovenia,Serbia,Negative-Positive_Y_Wins,1
3930170,Slovenia,Serbia,Negative-Positive_Y_Wins,1
3930170,Slovenia,Serbia,Negative-Negative_Y_Wins,1
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,0
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,0
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,0
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,0
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,0
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,1
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,1
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,1
3930170,Slovenia,Serbia,Positive-Negative_X_Wins,1
3930170,Slovenia,Serbia,Positive-Positive_X_Wins,1
3930170,Slovenia,Serbia,Positive-Positive_X_Wins,1
3930171,Denmark,England,Negative-Positive_Y_Wins,1
3930171,Denmark,England,Negative-Negative_Y_Wins,1
3930171,Denmark,England,Positive-Negative_X_Wins,1
3930171,Denmark,England,Negative-Negative_X_Wins,1
3930171,Denmark,England,Negative-Negative_X_Wins,1
3930171,Denmark,England,Positive-Negative_X_Wins,1
3930171,Denmark,England,Positive-Negative_X_Wins,1
3930171,Denmark,England,Negative-Positive_Y_Wins,1
3930171,Denmark,England,Negative-Positive_Y_Wins,1
3930171,Denmark,England,Negative-Positive_Y_Wins,1
3930171,Denmark,England,Positive-Negative_X_Wins,0
3930171,Denmark,England,Positive-Negative_X_Wins,1
3930171,Denmark,England,Positive-Positive_X_Wins,0
3930171,Denmark,England,Positive-Negative_X_Wins,0
3930172,Spain,Italy,Negative-Positive_Y_Wins,1
