match_id,home_team,away_team,minute_range,minute,status,orig_home_momentum,orig_away_momentum,new_home_momentum,new_away_momentum,home_diff,away_diff,period_in_new,minute_bucket
3930158,Germany,Scotland,0-2,0,CLOSE_MATCH,4.813,4.194,4.802,4.166,0.011,0.028,1.0,
3930158,Germany,Scotland,1-3,1,CLOSE_MATCH,4.468,4.007,4.456,3.974,0.012,0.033,1.0,0-20
3930158,Germany,Scotland,2-4,2,CLOSE_MATCH,4.471,4.102,4.485,4.092,0.014,0.01,1.0,0-20
3930158,Germany,Scotland,3-5,3,CLOSE_MATCH,4.453,4.298,4.463,4.278,0.01,0.02,1.0,0-20
3930158,Germany,Scotland,4-6,4,CLOSE_MATCH,4.677,4.319,4.68,4.304,0.003,0.015,1.0,0-20
3930158,Germany,Scotland,5-7,5,CLOSE_MATCH,5.007,4.279,5.003,4.257,0.004,0.022,1.0,0-20
3930158,Germany,Scotland,6-8,6,CLOSE_MATCH,5.218,4.085,5.212,4.099,0.006,0.014,1.0,0-20
3930158,Germany,Scotland,7-9,7,CLOSE_MATCH,5.425,3.865,5.427,3.883,0.002,0.018,1.0,0-20
3930158,Germany,Scotland,8-10,8,CLOSE_MATCH,5.448,3.755,5.455,3.788,0.007,0.033,1.0,0-20
3930158,Germany,Scotland,9-11,9,CLOSE_MATCH,5.21,4.337,5.24,4.409,0.03,0.072,1.0,0-20
3930158,Germany,Scotland,10-12,10,DIFFERENT,4.888,4.549,4.428,4.485,0.46,0.064,1.0,0-20
3930158,Germany,Scotland,11-13,11,DIFFERENT,5.086,4.462,4.639,4.383,0.447,0.079,1.0,0-20
3930158,Germany,Scotland,12-14,12,DIFFERENT,5.158,4.39,4.711,4.278,0.447,0.112,1.0,0-20
3930158,Germany,Scotland,13-15,13,DIFFERENT,5.4,4.692,4.985,4.581,0.415,0.111,1.0,0-20
3930158,Germany,Scotland,14-16,14,DIFFERENT,5.234,4.812,4.801,4.699,0.433,0.113,1.0,0-20
3930158,Germany,Scotland,15-17,15,DIFFERENT,5.309,4.844,4.881,4.717,0.428,0.127,1.0,0-20
3930158,Germany,Scotland,16-18,16,DIFFERENT,5.289,4.585,4.859,4.452,0.43,0.133,1.0,0-20
3930158,Germany,Scotland,17-19,17,DIFFERENT,5.392,4.462,4.965,4.344,0.427,0.118,1.0,0-20
3930158,Germany,Scotland,18-20,18,DIFFERENT,5.161,4.931,4.742,4.896,0.419,0.035,1.0,0-20
3930158,Germany,Scotland,19-21,19,DIFFERENT,5.051,5.442,4.48,5.295,0.571,0.147,1.0,0-20
3930158,Germany,Scotland,20-22,20,DIFFERENT,5.066,5.156,4.501,4.969,0.565,0.187,1.0,0-20
3930158,Germany,Scotland,21-23,21,DIFFERENT,5.26,4.99,4.732,4.8,0.528,0.19,1.0,21-40
3930158,Germany,Scotland,22-24,22,DIFFERENT,5.646,4.855,5.099,4.658,0.547,0.197,1.0,21-40
3930158,Germany,Scotland,23-25,23,DIFFERENT,5.726,4.675,5.173,4.491,0.553,0.184,1.0,21-40
3930158,Germany,Scotland,24-26,24,DIFFERENT,5.642,4.13,5.121,3.968,0.521,0.162,1.0,21-40
3930158,Germany,Scotland,25-27,25,DIFFERENT,5.884,5.443,5.451,5.297,0.433,0.146,1.0,21-40
3930158,Germany,Scotland,26-28,26,DIFFERENT,5.599,5.07,5.092,4.926,0.507,0.144,1.0,21-40
