match_id,home_team,away_team,total_records,exact_match,close_match,different,missing,match_rate,different_minutes
3930158,Germany,Scotland,89,0,29,59,1,32.6,"[10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
3930159,Hungary,Switzerland,93,0,31,62,0,33.3,"[12, 13, 14, 15, 16, 17, 18, 19, 20, 21]"
3930160,Spain,Croatia,91,1,71,19,0,79.1,"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
3930161,Italy,Albania,91,0,48,43,0,52.7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
3930162,Slovenia,Denmark,90,0,49,41,0,54.4,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3930163,Serbia,England,90,0,56,34,0,62.2,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
3930164,Belgium,Slovakia,94,0,48,45,1,51.1,"[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3930165,Austria,France,95,1,92,2,0,97.9,"[43, 84]"
3930166,Portugal,Czech Republic,91,0,59,32,0,64.8,"[43, 44, 45, 62, 63, 64, 65, 66, 67, 68]"
3930167,Croatia,Albania,94,0,39,55,0,41.5,"[11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
3930168,Germany,Hungary,89,0,41,48,0,46.1,"[22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
3930169,Scotland,Switzerland,90,0,69,21,0,76.7,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
3930170,Slovenia,Serbia,92,0,67,25,0,72.8,"[43, 44, 69, 70, 71, 72, 73, 74, 75, 76]"
3930171,Denmark,England,89,0,70,19,0,78.7,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27]"
3930172,Spain,Italy,92,0,88,4,0,95.7,"[43, 44, 45, 46]"
3930173,Netherlands,France,91,0,86,4,1,94.5,"[43, 44, 68, 70]"
3930174,Turkey,Portugal,91,0,31,59,1,34.1,"[21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
3930175,Belgium,Romania,90,0,36,54,0,40.0,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
3930176,Switzerland,Germany,90,0,69,21,0,76.7,"[16, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
3930177,Scotland,Hungary,97,2,88,5,2,92.8,"[43, 44, 45, 66, 67]"
3930178,Croatia,Italy,95,0,53,41,1,55.8,"[43, 55, 56, 57, 58, 59, 60, 61, 62, 63]"
3930179,Albania,Spain,90,0,55,34,1,61.1,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]"
3930180,Netherlands,Austria,93,0,73,20,0,78.5,"[44, 45, 46, 47, 48, 49, 50, 51, 52, 53]"
3930181,England,Slovenia,90,0,87,2,1,96.7,"[63, 67]"
3930182,Denmark,Serbia,91,0,88,2,1,96.7,"[43, 45]"
3930183,Slovakia,Romania,90,0,66,24,0,73.3,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29]"
3930184,Czech Republic,Turkey,93,1,70,22,0,76.3,"[20, 21, 36, 37, 44, 45, 46, 47, 52, 53]"
3938637,Poland,Netherlands,91,0,67,24,0,73.6,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
3938638,Romania,Ukraine,90,0,35,55,0,38.9,"[29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
3938639,Turkey,Georgia,93,0,55,38,0,59.1,"[10, 25, 26, 27, 28, 29, 30, 31, 43, 44]"
3938640,Slovakia,Ukraine,91,0,25,66,0,27.5,"[17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
3938641,Poland,Austria,90,0,39,51,0,43.3,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18]"
3938642,Georgia,Czech Republic,91,1,50,40,0,56.0,"[43, 44, 45, 46, 47, 48, 49, 50, 59, 60]"
3938643,France,Poland,91,1,65,23,2,72.5,"[41, 44, 45, 56, 57, 58, 59, 60, 61, 62]"
3938644,Georgia,Portugal,90,2,8,80,0,11.1,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
3938645,Ukraine,Belgium,90,0,86,4,0,95.6,"[30, 43, 44, 45]"
3940878,Switzerland,Italy,88,0,37,51,0,42.0,"[37, 38, 39, 40, 41, 42, 43, 44, 45, 46]"
3940983,Germany,Denmark,91,0,44,45,2,48.4,"[43, 44, 46, 47, 48, 49, 50, 53, 54, 55]"
