match_id,home_team,away_team,total_minutes,home_diff_count,away_diff_count,home_diff_minutes,away_diff_minutes,home_diff_pct,away_diff_pct
3942819,Netherlands,England,91,6,6,"[31, 33, 43, 44, 45, 46]","[15, 16, 43, 44, 45, 46]",6.6,6.6
3930158,Germany,Scotland,89,5,2,"[25, 43, 44, 45, 46]","[43, 46]",5.6,2.2
3938642,Georgia,Czech Republic,91,5,6,"[43, 44, 45, 46, 47]","[43, 44, 45, 46, 47, 48]",5.5,6.6
3930183,Slovakia,Romania,90,5,6,"[23, 33, 44, 45, 46]","[20, 21, 22, 34, 45, 46]",5.6,6.7
3942382,Netherlands,Turkey,92,4,2,"[15, 43, 44, 45]","[44, 45]",4.3,2.2
3930184,Czech Republic,Turkey,93,4,4,"[20, 21, 36, 46]","[37, 44, 45, 46]",4.3,4.3
3941017,England,Slovakia,117,4,4,"[43, 44, 45, 46]","[43, 44, 45, 46]",3.4,3.4
3930161,Italy,Albania,91,3,1,"[20, 44, 46]",[45],3.3,1.1
3938645,Ukraine,Belgium,90,3,2,"[43, 44, 45]","[30, 45]",3.3,2.2
3940878,Switzerland,Italy,88,3,3,"[43, 44, 46]","[43, 44, 46]",3.4,3.4
3930172,Spain,Italy,92,3,0,"[43, 44, 45]",None,3.3,0.0
3942226,Spain,Germany,122,3,2,"[43, 44, 45]","[44, 45]",2.5,1.6
3930159,Hungary,Switzerland,93,3,3,"[43, 44, 45]","[43, 44, 45]",3.2,3.2
3930176,Switzerland,Germany,90,3,2,"[16, 43, 44]","[43, 44]",3.3,2.2
3930177,Scotland,Hungary,97,2,1,"[43, 44]",[44],2.1,1.0
3930180,Netherlands,Austria,93,2,0,"[44, 45]",None,2.2,0.0
3938641,Poland,Austria,90,2,2,"[43, 44]","[43, 44]",2.2,2.2
3938639,Turkey,Georgia,93,2,1,"[43, 44]",[10],2.2,1.1
3938638,Romania,Ukraine,90,2,1,"[38, 43]",[43],2.2,1.1
3940983,Germany,Denmark,91,2,5,"[46, 48]","[43, 44, 46, 47, 48]",2.2,5.5
3938643,France,Poland,91,2,3,"[44, 45]","[41, 44, 45]",2.2,3.3
3941019,France,Belgium,89,2,1,"[43, 44]",[44],2.2,1.1
3938644,Georgia,Portugal,90,2,2,"[9, 45]","[43, 44]",2.2,2.2
3941022,Austria,Turkey,91,2,2,"[43, 44]","[5, 44]",2.2,2.2
3930171,Denmark,England,89,2,0,"[43, 44]",None,2.2,0.0
3942752,Spain,France,91,2,3,"[43, 44]","[12, 44, 45]",2.2,3.3
3930166,Portugal,Czech Republic,91,2,1,"[43, 44]",[44],2.2,1.1
3930160,Spain,Croatia,91,2,2,"[44, 45]","[44, 45]",2.2,2.2
3930164,Belgium,Slovakia,94,2,2,"[44, 45]","[44, 45]",2.1,2.1
3941018,Spain,Georgia,89,1,3,[44],"[43, 44, 45]",1.1,3.4
3941021,Romania,Netherlands,90,1,4,[44],"[31, 43, 45, 46]",1.1,4.4
3942227,England,Switzerland,123,1,1,[43],[43],0.8,0.8
3942349,Portugal,France,123,1,0,[43],None,0.8,0.0
3930162,Slovenia,Denmark,90,1,0,[43],None,1.1,0.0
3938637,Poland,Netherlands,91,1,0,[44],None,1.1,0.0
3930163,Serbia,England,90,1,2,[45],"[44, 45]",1.1,2.2
3930182,Denmark,Serbia,91,1,1,[43],[43],1.1,1.1
3930178,Croatia,Italy,95,1,1,[43],[43],1.1,1.1
3930175,Belgium,Romania,90,1,2,[44],"[43, 44]",1.1,2.2
3930174,Turkey,Portugal,91,1,0,[43],None,1.1,0.0
3930170,Slovenia,Serbia,92,1,2,[44],"[43, 44]",1.1,2.2
3930169,Scotland,Switzerland,90,1,3,[44],"[44, 45, 46]",1.1,3.3
3930168,Germany,Hungary,89,1,3,[45],"[43, 44, 45]",1.1,3.4
3930167,Croatia,Albania,94,1,0,[43],None,1.1,0.0
3943043,Spain,England,90,1,3,[45],"[43, 44, 45]",1.1,3.3
3938640,Slovakia,Ukraine,91,0,1,None,[44],0.0,1.1
3930181,England,Slovenia,90,0,0,None,None,0.0,0.0
3930179,Albania,Spain,90,0,1,None,[43],0.0,1.1
3941020,Portugal,Slovenia,120,0,3,None,"[31, 43, 45]",0.0,2.5
3930173,Netherlands,France,91,0,2,None,"[43, 44]",0.0,2.2
3930165,Austria,France,95,0,1,None,[43],0.0,1.1
