match_id,home_team,away_team,home_score,away_score,match_result,total_windows,home_momentum_wins,away_momentum_wins,momentum_winner,momentum_margin,momentum_margin_pct,home_positive_changes,away_positive_changes,change_winner,change_margin,change_margin_pct,home_num_seq,away_num_seq,num_seq_winner,num_seq_margin,home_longest,away_longest,longest_winner,longest_margin,momentum_outcome,change_outcome,num_seq_outcome,longest_outcome
3930158,Germany,Scotland,5,1,home_win,92,85,6,home,79,85.86956521739131,51,49,home,2,2.1739130434782608,20,14,home,6,6,9,away,3,WIN,WIN,WIN,LOSE
3930159,Hungary,Switzerland,1,3,away_win,96,38,58,away,20,20.833333333333336,49,48,home,1,1.0416666666666665,14,14,tie,0,7,6,home,1,WIN,LOSE,TIE,LOSE
3930160,Spain,Croatia,3,0,home_win,94,45,49,away,4,4.25531914893617,47,50,away,3,3.1914893617021276,18,13,home,5,5,8,away,3,LOSE,LOSE,WIN,LOSE
3930161,Italy,Albania,2,1,home_win,94,74,20,home,54,57.446808510638306,51,55,away,4,4.25531914893617,17,12,home,5,7,10,away,3,WIN,LOSE,WIN,LOSE
3930162,Slovenia,Denmark,1,1,draw,93,25,68,away,43,46.236559139784944,45,47,away,2,2.1505376344086025,13,15,away,2,8,6,home,2,DRAW,DRAW,DRAW,DRAW
3930163,Serbia,England,0,1,away_win,93,47,46,home,1,1.0752688172043012,48,44,home,4,4.301075268817205,16,15,home,1,7,6,home,1,LOSE,LOSE,LOSE,LOSE
3930164,Belgium,Slovakia,0,1,away_win,97,61,35,home,26,26.804123711340207,45,46,away,1,1.0309278350515463,13,17,away,4,9,7,home,2,LOSE,WIN,WIN,LOSE
3930165,Austria,France,0,1,away_win,98,53,44,home,9,9.183673469387756,48,52,away,4,4.081632653061225,16,15,home,1,5,9,away,4,LOSE,WIN,LOSE,WIN
3930166,Portugal,Czech Republic,2,1,home_win,94,79,15,home,64,68.08510638297872,47,47,tie,0,0.0,13,18,away,5,9,6,home,3,WIN,TIE,LOSE,WIN
3930167,Croatia,Albania,2,2,draw,97,69,28,home,41,42.2680412371134,47,49,away,2,2.0618556701030926,16,15,home,1,9,6,home,3,DRAW,DRAW,DRAW,DRAW
3930168,Germany,Hungary,2,0,home_win,92,78,14,home,64,69.56521739130434,47,48,away,1,1.0869565217391304,13,13,tie,0,7,8,away,1,WIN,LOSE,TIE,LOSE
3930169,Scotland,Switzerland,1,1,draw,93,39,54,away,15,16.129032258064516,49,47,home,2,2.1505376344086025,15,11,home,4,14,8,home,6,DRAW,DRAW,DRAW,DRAW
3930170,Slovenia,Serbia,1,1,draw,95,37,58,away,21,22.105263157894736,49,53,away,4,4.2105263157894735,13,14,away,1,8,11,away,3,DRAW,DRAW,DRAW,DRAW
3930171,Denmark,England,1,1,draw,92,53,39,home,14,15.217391304347828,45,47,away,2,2.1739130434782608,16,14,home,2,8,7,home,1,DRAW,DRAW,DRAW,DRAW
3930172,Spain,Italy,1,0,home_win,95,68,27,home,41,43.15789473684211,41,48,away,7,7.368421052631578,14,15,away,1,6,6,tie,0,WIN,LOSE,LOSE,TIE
3930173,Netherlands,France,0,0,draw,94,27,66,away,39,41.48936170212766,49,51,away,2,2.127659574468085,15,10,home,5,9,11,away,2,DRAW,DRAW,DRAW,DRAW
3930174,Turkey,Portugal,0,3,away_win,93,38,55,away,17,18.27956989247312,45,44,home,1,1.0752688172043012,12,12,tie,0,8,7,home,1,WIN,LOSE,TIE,LOSE
3930175,Belgium,Romania,2,0,home_win,93,59,34,home,25,26.881720430107524,54,48,home,6,6.451612903225806,13,15,away,2,11,6,home,5,WIN,WIN,LOSE,WIN
3930176,Switzerland,Germany,1,1,draw,93,30,63,away,33,35.483870967741936,40,50,away,10,10.75268817204301,15,14,home,1,8,6,home,2,DRAW,DRAW,DRAW,DRAW
3930177,Scotland,Hungary,0,1,away_win,100,50,47,home,3,3.0,58,48,home,10,10.0,14,14,tie,0,10,12,away,2,LOSE,LOSE,TIE,WIN
3930178,Croatia,Italy,1,1,draw,97,54,43,home,11,11.34020618556701,51,48,home,3,3.0927835051546393,15,14,home,1,7,10,away,3,DRAW,DRAW,DRAW,DRAW
3930179,Albania,Spain,0,1,away_win,92,33,59,away,26,28.26086956521739,44,44,tie,0,0.0,12,12,tie,0,9,6,home,3,WIN,TIE,TIE,LOSE
3930180,Netherlands,Austria,2,3,away_win,96,50,46,home,4,4.166666666666666,47,51,away,4,4.166666666666666,16,13,home,3,9,9,tie,0,LOSE,WIN,LOSE,TIE
3930181,England,Slovenia,0,0,draw,92,75,17,home,58,63.04347826086957,51,44,home,7,7.608695652173914,15,15,tie,0,11,5,home,6,DRAW,DRAW,TIE,DRAW
3930182,Denmark,Serbia,0,0,draw,93,62,31,home,31,33.33333333333333,45,46,away,1,1.0752688172043012,13,12,home,1,6,8,away,2,DRAW,DRAW,DRAW,DRAW
3930183,Slovakia,Romania,1,1,draw,93,55,38,home,17,18.27956989247312,48,45,home,3,3.225806451612903,13,16,away,3,7,7,tie,0,DRAW,DRAW,DRAW,TIE
3930184,Czech Republic,Turkey,1,2,away_win,96,31,64,away,33,34.375,46,53,away,7,7.291666666666667,13,17,away,4,7,7,tie,0,WIN,WIN,WIN,TIE
3938637,Poland,Netherlands,1,2,away_win,94,29,65,away,36,38.297872340425535,48,44,home,4,4.25531914893617,14,16,away,2,14,7,home,7,WIN,LOSE,WIN,LOSE
3938638,Romania,Ukraine,3,0,home_win,93,21,72,away,51,54.83870967741935,46,51,away,5,5.376344086021505,13,15,away,2,7,8,away,1,LOSE,LOSE,LOSE,LOSE
3938639,Turkey,Georgia,3,1,home_win,96,58,38,home,20,20.833333333333336,41,46,away,5,5.208333333333334,15,13,home,2,5,5,tie,0,WIN,LOSE,WIN,TIE
3938640,Slovakia,Ukraine,1,2,away_win,94,47,47,tie,0,0.0,46,47,away,1,1.0638297872340425,14,14,tie,0,7,5,home,2,TIE,WIN,TIE,LOSE
3938641,Poland,Austria,1,3,away_win,93,34,59,away,25,26.881720430107524,55,43,home,12,12.903225806451612,11,13,away,2,9,7,home,2,WIN,LOSE,WIN,LOSE
3938642,Georgia,Czech Republic,1,1,draw,94,24,70,away,46,48.93617021276596,46,46,tie,0,0.0,18,17,home,1,6,5,home,1,DRAW,TIE,DRAW,DRAW
3938643,France,Poland,1,1,draw,94,71,21,home,50,53.191489361702125,48,46,home,2,2.127659574468085,18,14,home,4,5,7,away,2,DRAW,DRAW,DRAW,DRAW
3938644,Georgia,Portugal,2,0,home_win,93,7,85,away,78,83.87096774193549,47,49,away,2,2.1505376344086025,12,14,away,2,8,11,away,3,LOSE,LOSE,LOSE,LOSE
3938645,Ukraine,Belgium,0,0,draw,93,33,60,away,27,29.03225806451613,41,51,away,10,10.75268817204301,15,17,away,2,6,6,tie,0,DRAW,DRAW,DRAW,TIE
3940878,Switzerland,Italy,2,0,home_win,91,48,43,home,5,5.4945054945054945,45,45,tie,0,0.0,17,15,home,2,6,7,away,1,WIN,TIE,WIN,LOSE
3940983,Germany,Denmark,2,0,home_win,94,55,37,home,18,19.148936170212767,47,53,away,6,6.382978723404255,15,11,home,4,10,8,home,2,WIN,LOSE,WIN,WIN
3941017,England,Slovakia,2,1,home_win,96,76,20,home,56,58.333333333333336,54,44,home,10,10.416666666666668,13,17,away,4,9,4,home,5,WIN,WIN,LOSE,WIN
3941018,Spain,Georgia,4,1,home_win,92,91,1,home,90,97.82608695652173,58,43,home,15,16.304347826086957,13,15,away,2,11,7,home,4,WIN,WIN,LOSE,WIN
3941019,France,Belgium,1,0,home_win,92,69,23,home,46,50.0,52,44,home,8,8.695652173913043,11,12,away,1,8,6,home,2,WIN,WIN,LOSE,WIN
3941020,Portugal,Slovenia,0,0,draw,93,74,19,home,55,59.13978494623656,47,45,home,2,2.1505376344086025,13,14,away,1,8,7,home,1,DRAW,DRAW,DRAW,DRAW
3941021,Romania,Netherlands,0,3,away_win,93,22,71,away,49,52.68817204301075,50,51,away,1,1.0752688172043012,13,14,away,1,6,8,away,2,WIN,WIN,WIN,WIN
3941022,Austria,Turkey,1,2,away_win,94,66,28,home,38,40.42553191489361,52,51,home,1,1.0638297872340425,15,17,away,2,9,7,home,2,LOSE,LOSE,WIN,LOSE
3942226,Spain,Germany,2,1,home_win,93,47,46,home,1,1.0752688172043012,50,47,home,3,3.225806451612903,18,14,home,4,4,7,away,3,WIN,WIN,WIN,LOSE
3942227,England,Switzerland,1,1,draw,90,55,35,home,20,22.22222222222222,46,43,home,3,3.3333333333333335,13,15,away,2,8,6,home,2,DRAW,DRAW,DRAW,DRAW
3942349,Portugal,France,0,0,draw,91,42,49,away,7,7.6923076923076925,40,47,away,7,7.6923076923076925,13,16,away,3,10,7,home,3,DRAW,DRAW,DRAW,DRAW
3942382,Netherlands,Turkey,2,1,home_win,95,61,34,home,27,28.421052631578945,47,42,home,5,5.263157894736842,14,15,away,1,6,7,away,1,WIN,WIN,LOSE,LOSE
3942752,Spain,France,2,1,home_win,94,41,53,away,12,12.76595744680851,46,47,away,1,1.0638297872340425,17,14,home,3,8,5,home,3,LOSE,LOSE,WIN,WIN
3942819,Netherlands,England,1,2,away_win,94,19,74,away,55,58.51063829787234,49,46,home,3,3.1914893617021276,14,17,away,3,13,5,home,8,WIN,LOSE,WIN,LOSE
3943043,Spain,England,2,1,home_win,93,60,33,home,27,29.03225806451613,42,44,away,2,2.1505376344086025,13,13,tie,0,7,7,tie,0,WIN,LOSE,TIE,TIE
