match_id,period,minute_range,minute,team_home,team_away,team_home_momentum,team_away_momentum,events_in_window,team_home_momentum_change,team_away_momentum_change
3930158,1,0-2,0,Germany,Scotland,4.813,4.194,108,-0.36,0.104
3930158,1,1-3,1,Germany,Scotland,4.468,4.007,58,0.209,0.312
3930158,1,2-4,2,Germany,Scotland,4.471,4.102,85,0.536,0.177
3930158,1,3-5,3,Germany,Scotland,4.453,4.298,97,0.765,-0.213
3930158,1,4-6,4,Germany,Scotland,4.677,4.319,144,0.748,-0.454
3930158,1,5-7,5,Germany,Scotland,5.007,4.279,156,0.441,-0.524
3930158,1,6-8,6,Germany,Scotland,5.218,4.085,176,-0.008,0.252
3930158,1,7-9,7,Germany,Scotland,5.425,3.865,188,-0.537,0.684
3930158,1,8-10,8,Germany,Scotland,5.448,3.755,132,-0.362,0.707
3930158,1,9-11,9,Germany,Scotland,5.21,4.337,126,-0.052,0.053
3930158,1,10-12,10,Germany,Scotland,4.888,4.549,116,0.512,0.143
3930158,1,11-13,11,Germany,Scotland,5.086,4.462,175,0.148,0.35
3930158,1,12-14,12,Germany,Scotland,5.158,4.39,146,0.151,0.454
3930158,1,13-15,13,Germany,Scotland,5.4,4.692,155,-0.111,-0.107
3930158,1,14-16,14,Germany,Scotland,5.234,4.812,141,0.158,-0.35
3930158,1,15-17,15,Germany,Scotland,5.309,4.844,189,-0.148,0.087
3930158,1,16-18,16,Germany,Scotland,5.289,4.585,158,-0.238,0.857
3930158,1,17-19,17,Germany,Scotland,5.392,4.462,113,-0.326,0.694
3930158,1,18-20,18,Germany,Scotland,5.161,4.931,69,0.099,0.059
3930158,1,19-21,19,Germany,Scotland,5.051,5.442,97,0.595,-0.587
3930158,1,20-22,20,Germany,Scotland,5.066,5.156,140,0.66,-0.481
3930158,1,21-23,21,Germany,Scotland,5.26,4.99,151,0.382,-0.86
3930158,1,22-24,22,Germany,Scotland,5.646,4.855,92,0.238,0.588
3930158,1,23-25,23,Germany,Scotland,5.726,4.675,49,-0.127,0.395
3930158,1,24-26,24,Germany,Scotland,5.642,4.13,7,0.117,0.94
3930158,1,25-27,25,Germany,Scotland,5.884,5.443,26,-0.299,-0.524
3930158,1,26-28,26,Germany,Scotland,5.599,5.07,60,0.035,0.006
3930158,1,27-29,27,Germany,Scotland,5.759,5.07,120,-0.428,-0.09
3930158,1,28-30,28,Germany,Scotland,5.585,4.919,116,0.049,-0.41
3930158,1,29-31,29,Germany,Scotland,5.634,5.076,117,-0.122,-0.12
3930158,1,30-32,30,Germany,Scotland,5.331,4.98,87,0.091,0.099
3930158,1,31-33,31,Germany,Scotland,5.634,4.509,128,-0.436,0.775
3930158,1,32-34,32,Germany,Scotland,5.512,4.956,165,-0.534,0.368
3930158,1,33-35,33,Germany,Scotland,5.422,5.079,157,-0.285,-0.108
3930158,1,34-36,34,Germany,Scotland,5.198,5.284,130,0.32,-0.394
3930158,1,35-37,35,Germany,Scotland,4.978,5.324,70,0.957,-0.526
3930158,1,36-38,36,Germany,Scotland,5.137,4.971,97,1.138,-0.104
3930158,1,37-39,37,Germany,Scotland,5.518,4.89,107,0.824,-0.101
3930158,1,38-40,38,Germany,Scotland,5.935,4.798,156,0.695,0.397
3930158,1,39-41,39,Germany,Scotland,6.275,4.867,122,-6.275,-4.867
3930158,1,40-42,40,Germany,Scotland,6.342,4.789,76,0.494,-4.267
3930158,1,41-43,41,Germany,Scotland,6.63,5.195,15,-1.381,-0.552
3930158,1,42-44,42,Germany,Scotland,0.0,0.0,0,4.81,4.764
3930158,1,43-45,43,Germany,Scotland,6.836,0.522,2,-1.72,4.8
3930158,1,44-46,44,Germany,Scotland,5.249,4.643,23,,
3930158,1,45-47,45,Germany,Scotland,4.81,4.764,59,,
3930158,1,46-48,46,Germany,Scotland,5.116,5.322,72,,
3930158,2,45-47,45,Germany,Scotland,5.627,4.827,70,0.229,0.358
3930158,2,46-48,46,Germany,Scotland,5.792,4.951,127,0.24,0.064
3930158,2,47-49,47,Germany,Scotland,5.775,5.129,178,0.419,-0.28
